說服教授改學期成績,1,S,溝通協調,Persuasion
說服你做一件事情,1,S,溝通協調,Persuasion
菜市場殺價,1,S,溝通協調,Persuasion
你聽過安麗嗎？,1,S,溝通協調,Persuasion
激烈的辯論,1,S,溝通協調,Persuasion
和事佬,1,S,溝通協調,Diplomacy
見人說人話，見鬼說鬼話,1,S,溝通協調,Diplomacy
正式場合穿拖鞋,-1,S,溝通協調,Diplomacy
世故,1,S,溝通協調,Diplomacy
大聲地斥責你,-1,S,溝通協調,Diplomacy
傾聽,1,S,溝通協調,Learning/Openness
對點子不感興趣,-1,S,溝通協調,Learning/Openness
會說點子給他聽,1,S,溝通協調,Learning/Openness
潑你冷水,-1,S,溝通協調,Learning/Openness
固執,-1,S,溝通協調,Learning/Openness
宅宅,-1,S,溝通協調,Versatility/Ease in public
演主角,1,S,溝通協調,Versatility/Ease in public
恐懼舞台、講台,-1,S,溝通協調,Versatility/Ease in public
習慣面對電腦,-1,S,溝通協調,Versatility/Ease in public
人生不能沒有觀眾,1,S,溝通協調,Versatility/Ease in public
幽默,1,S,人見人愛,Humor
嘲笑自己,1,S,人見人愛,Humor
惱羞成怒,-1,S,人見人愛,Humor
幽默地洞察人情世故,1,S,人見人愛,Humor
覺得自己很幽默,1,S,人見人愛,Humor
帥,1,S,人見人愛,Appeal
會打扮,1,S,人見人愛,Appeal
第一印象很好,1,S,人見人愛,Appeal
天生的魅力,1,S,人見人愛,Appeal
誠懇,1,S,人見人愛,Authenticity
話最不可信,-1,S,人見人愛,Authenticity
臉上寫著「老實」,1,S,人見人愛,Authenticity
一生清白,1,S,人見人愛,Authenticity
去跟包青天喊冤,-1,S,人見人愛,Authenticity
坐教室的角落,-1,S,人見人愛,Leadership
帶動唱高手中的高手,1,S,人見人愛,Leadership
句點王,-1,S,人見人愛,Leadership
強大的領導力,1,S,人見人愛,Leadership
心理諮商師,1,S,人見人愛,Leadership
放聲大笑別人跌倒,-1,S,靈活應變,Respect
打斷你的話,-1,S,靈活應變,Respect
尊重師長,1,S,靈活應變,Respect
種族歧視,-1,S,靈活應變,Respect
一顆謙卑的心,1,S,靈活應變,Respect
等你大完便再去逛街,1,S,靈活應變,Patience
耐心傾聽別人講話,1,S,靈活應變,Patience
氣急敗壞走人,-1,S,靈活應變,Patience
喜歡看平靜的湖面,1,S,靈活應變,Patience
看著月光作詩賞曲,1,S,靈活應變,Patience
ipad被偷維持冷靜,1,S,靈活應變,Mood management
火山爆發維持冷靜,1,S,靈活應變,Mood management
頭髮被剪壞，微笑付錢,1,S,靈活應變,Mood management
靜靜的將鼻屎取下,1,S,靈活應變,Mood management
開懷面對自己落選,1,S,靈活應變,Mood management
已讀不回,-1,S,靈活應變,Responsiveness
3分鐘內回覆你所有訊息,1,S,靈活應變,Responsiveness
難約出來吃飯,-1,S,靈活應變,Responsiveness
話很難接,-1,S,靈活應變,Responsiveness
行為舉止讓你想飆髒話,-1,S,靈活應變,Responsiveness
很快跟新朋友打成一片,1,S,主動積極,Observation
偷偷觀察到某人分手,1,S,主動積極,Observation
很會看別人臉色,1,S,主動積極,Observation
會注意到你今天的小變化,1,S,主動積極,Observation
用Facebook掌控大家的動向,1,S,主動積極,Observation
不時關心你,1,S,主動積極,Caring
買對朋友的生日禮物,1,S,主動積極,Caring
知道你喜歡吃什麼,1,S,主動積極,Caring
記得所有人生日,1,S,主動積極,Caring
會冷落別人,-1,S,主動積極,Caring
對你的感情史瞭若指掌,1,S,主動積極,Curiosity
在電梯裡，最不想要巧遇他,-1,S,主動積極,Curiosity
碰到馬英九會一直問他問題,1,S,主動積極,Curiosity
一直說「為什麼？」,1,S,主動積極,Curiosity
第一個知道所有人的八卦,1,S,主動積極,Curiosity
主動幫朋友出午餐錢,1,S,主動積極,Persistence
10年後，還會跟他很熟,1,S,主動積極,Persistence
願意長期幫你掃地洗碗,1,S,主動積極,Persistence
家徒四壁時，會找他幫忙,1,S,主動積極,Persistence
結婚時，會找他當證婚人,1,S,主動積極,Persistence
拔教授的鼻毛，還安然無事,0,F,,
想要他幫你掏耳朵,0,F,,
在畢業典禮時，捏校長的屁股,0,F,,
跳鋼管舞,0,F,,
「我要代替月亮懲罰你」,0,F,,
翹小拇指,0,F,,
唱饒舌歌,0,F,,
願意背著你跑馬拉松,0,F,,
會說「我願意為你而死」,0,F,,
讓你笑到跌倒,0,F,,
假裝專心聽,0,F,,
想成為海賊王,0,F,,
願意讓他開你的車,0,F,,
躺在沙灘上耍廢,0,F,,
出現在電視上,0,F,,
Facebook密碼會給他,0,F,,
偷偷在上交友網站,0,F,,
先賺到1億元,0,F,,
在校門口唱歌,0,F,,
小便的時候，希望他在隔壁,0,F,,
修你的水槽，然後修不好,0,F,,
宣布參選總統,0,F,,
希望下輩子是另外一個性別,0,F,,
劈腿都不讓別人知道,0,F,,
熬夜為了奇怪的理由,0,F,,
有變態時，會保護你,0,F,,
強大的毅力，不達目標，絕不罷休！,1,P,出眾能力,Determination
經過不斷嘗試、不斷失敗後，成功達成的任務,1,P,出眾能力,Determination
走路三小時去吃一家餐廳,1,P,出眾能力,Determination
「呃，那件事情我後來放棄了...」,-1,P,出眾能力,Determination
定時運動,1,P,出眾能力,Determination
有野心或企圖心,1,P,出眾能力,Ambition
朝著自己的目標，一步一步邁進,1,P,出眾能力,Ambition
想成為大公司的CEO,1,P,出眾能力,Ambition
過著與世無爭的生活,-1,P,出眾能力,Ambition
今天的我一定要比昨天的我強！,1,P,出眾能力,Ambition
會偷走可口可樂配方,1,P,出眾能力,Work Ethic
加班直到完成工作任務為止,1,P,出眾能力,Work Ethic
當肥貓,-1,P,出眾能力,Work Ethic
一天行程滿滿是工作,1,P,出眾能力,Work Ethic
緩慢的工作步調,-1,P,出眾能力,Work Ethic
競爭,1,P,出眾能力,Competitive Spirit
不喜歡輸,1,P,出眾能力,Competitive Spirit
有很大的機會輸掉一場比賽，還是去參加,-1,P,出眾能力,Competitive Spirit
享受成為第一名,1,P,出眾能力,Competitive Spirit
喜歡跟別人比較,1,P,出眾能力,Competitive Spirit
有能力把一件事情包裝成一個故事,1,P,管理能力,Vision
預測未來趨勢的能力,1,P,管理能力,Vision
很常對他說：「講重點啦！」,-1,P,管理能力,Vision
適合當偵探,-1,P,管理能力,Vision
看小部分，不看整體,-1,P,管理能力,Vision
會說：「等等，我查一下我的Schedule。」,1,P,管理能力,Organization
有組織協調能力,1,P,管理能力,Organization
忘東忘西,-1,P,管理能力,Organization
事情有彈性,-1,P,管理能力,Organization
沒有行程表活不下去,1,P,管理能力,Organization
部屬犯了錯，會站出來承擔責任,1,P,管理能力,Taking Responsibility
責任感,1,P,管理能力,Taking Responsibility
強烈的使命感,1,P,管理能力,Taking Responsibility
任務失敗了，會覺得都是自己的錯,1,P,管理能力,Taking Responsibility
聽老闆說的，不管自己的道德判斷,1,P,管理能力,Taking Responsibility
領袖特質,1,P,管理能力,Leading
強大的個人魅力,1,P,管理能力,Leading
帶領我們走出一條不一樣的路,1,P,管理能力,Leading
不自覺想要幫助他,1,P,管理能力,Leading
他當leader你會馬上離開這個團隊,-1,P,管理能力,Leading
厲害的業務人員,1,P,溝通能力,Persuasion
喜歡辯論,1,P,溝通能力,Persuasion
嘴砲、唬爛而不中肯,-1,P,溝通能力,Persuasion
給人一種豁然開朗的感覺,1,P,溝通能力,Persuasion
講話是一門藝術,1,P,溝通能力,Persuasion
出來打圓場,1,P,溝通能力,Diplomacy
避免衝突,1,P,溝通能力,Diplomacy
喜歡處理跟「人」相關的事務，而非「事」,1,P,溝通能力,Diplomacy
交際手腕強,1,P,溝通能力,Diplomacy
見人說人話，見鬼說鬼話,1,P,溝通能力,Diplomacy
如果是CEO，會聽取各方意見,1,P,溝通能力,Opening up to others
不固執,1,P,溝通能力,Opening up to others
決定的事情，就很難改,-1,P,溝通能力,Opening up to others
說服他要花最大的力氣,-1,P,溝通能力,Opening up to others
上輩子是獨裁者,-1,P,溝通能力,Opening up to others
